item,avg_rating,rank,rating_sd,number_ratings,character
simple (not complicated),82.2,14,25.5,396,Homer Simpson
gossiping (not confidential),82.2,104,20.2,487,Homer Simpson
loose (not tight),82,64,21.9,49,Homer Simpson
folksy (not presidential),81.9,69,22.6,53,Homer Simpson
straight (not queer),81.7,358,23.8,161,Homer Simpson
barbaric (not civilized),81.6,62,16.8,393,Homer Simpson
social (not reclusive),81.6,195,19.6,216,Homer Simpson
stinky (not fresh),81.6,52,20.1,217,Homer Simpson
masculine (not feminine),81.3,467,19.2,419,Homer Simpson
cocky (not timid),81.1,452,21.5,37,Homer Simpson
slugabed (not go-getter),81,11,25.8,101,Homer Simpson
🐷 (not 🐮),81,41,25,191,Homer Simpson
🧢 (not 🎩),81,153,27.9,119,Homer Simpson
🐐 (not 🦒),80.9,31,21.5,218,Homer Simpson
basic (not hipster),80.8,128,24,415,Homer Simpson
backdoor (not official),80.8,145,22,410,Homer Simpson
dog person (not cat person),80.7,133,26.2,52,Homer Simpson
lewd (not tasteful),80.7,65,21.6,418,Homer Simpson
moody (not stable),80.7,319,20.5,420,Homer Simpson
astonishing (not methodical),80.5,36,22.5,392,Homer Simpson
outlaw (not sheriff),80.3,275,17.2,379,Homer Simpson
unmotivated (not motivated),80.2,17,24.2,39,Homer Simpson
imaginative (not practical),80.2,121,23.3,391,Homer Simpson
stubborn (not accommodating),80,481,23.9,75,Homer Simpson
wild (not tame),79.8,373,23,373,Homer Simpson
bad-cook (not good-cook),79.8,97,24.9,57,Homer Simpson
edgy (not politically correct),79.7,223,16.9,402,Homer Simpson
twitchy (not still),79.7,214,24.5,76,Homer Simpson
unambitious (not driven),79.6,13,26.7,349,Homer Simpson
dramatic (not no-nonsense),79.4,237,28.6,162,Homer Simpson
family-first (not work-first),79.1,271,19.4,427,Homer Simpson
🤣 (not 😊),79.1,87,26.4,156,Homer Simpson
rustic (not cultured),79.1,72,22.2,58,Homer Simpson
relaxed (not tense),78.9,54,25.9,415,Homer Simpson
melee (not ranged),78.8,24,21.3,47,Homer Simpson
epic (not deep),78.8,56,17.5,54,Homer Simpson
subjective (not objective),78.8,18,27.1,91,Homer Simpson
zany (not regular),78.7,243,24.2,107,Homer Simpson
rude (not respectful),78.5,185,19.4,435,Homer Simpson
😎 (not 🧐),78.5,264,25.8,154,Homer Simpson
nonpolitical (not political),78.4,53,25.4,366,Homer Simpson
shallow (not deep),78.4,92,22.3,168,Homer Simpson
expressive (not monotone),78.4,356,24.7,41,Homer Simpson
extreme (not moderate),78.3,462,26.2,378,Homer Simpson
often crying (not never cries),78.2,133,21.9,44,Homer Simpson
selfish (not altruistic),78,283,23.9,434,Homer Simpson
rebellious (not obedient),77.7,488,22.8,409,Homer Simpson
not introspective (not introspective),77.5,46,29.4,180,Homer Simpson
👩‍🎤 (not 👩‍🔬),77.4,288,25,144,Homer Simpson
🤠 (not 🤑),77.3,266,27.5,117,Homer Simpson
proletariat (not bourgeoisie),77,156,28.9,323,Homer Simpson
muddy (not washed),77,105,25.8,51,Homer Simpson
luddite (not technophile),76.8,70,24.9,317,Homer Simpson
🐿 (not 🦇),76.7,264,26.1,106,Homer Simpson
repulsive (not attractive),76.6,87,21.9,435,Homer Simpson
receiving (not giving),76.6,228,24.1,58,Homer Simpson
sunny (not gloomy),76.5,272,23.2,52,Homer Simpson
heathen (not devout),76.4,124,24,395,Homer Simpson
English (not German),76.4,549,28.5,58,Homer Simpson
cheery (not sorrowful),76.4,185,21.5,424,Homer Simpson
provincial (not cosmopolitan),76.3,98,26,292,Homer Simpson
circular (not linear),76.3,46,25.3,53,Homer Simpson
variable (not consistent),76,56,28.1,57,Homer Simpson
soft (not hard),75.8,237,23.1,91,Homer Simpson
f***-the-police (not tattle-tale),75.8,532,24.9,67,Homer Simpson
flower child (not goth),75.7,435,25.5,53,Homer Simpson
hedonist (not monastic),75.6,116,29.8,113,Homer Simpson
exuberant (not subdued),75.5,319,29.2,50,Homer Simpson
intimate (not formal),75.1,194,24.4,173,Homer Simpson
straightforward (not cryptic),75,314,30.5,399,Homer Simpson
biased (not impartial),75,348,26.8,368,Homer Simpson
desperate (not high standards),75,142,25.8,70,Homer Simpson
self-assured (not self-conscious),74.9,418,26.5,415,Homer Simpson
warm (not cold),74.9,426,22.1,365,Homer Simpson
noob (not pro),74.9,55,30,132,Homer Simpson
💪 (not 🧠),74.9,150,23.4,135,Homer Simpson
orange (not purple),74.8,120,24.9,352,Homer Simpson
off-key (not musical),74.7,156,28.8,55,Homer Simpson
soft (not hard),74.6,270,23.4,381,Homer Simpson
one-faced (not two-faced),74.3,555,31.6,53,Homer Simpson
hypocritical (not equitable),74.1,250,26.5,147,Homer Simpson
sexist (not feminist),73.9,219,23.4,191,Homer Simpson
wavering (not resolute),73.9,30,23.4,104,Homer Simpson
lustful (not chaste),73.9,360,24.4,432,Homer Simpson
sickly (not healthy),73.8,106,21.3,380,Homer Simpson
unorthodox (not traditional),73.8,447,29.6,91,Homer Simpson
helpless (not resourceful),73.8,40,28,95,Homer Simpson
reactive (not proactive),73.6,133,32.8,33,Homer Simpson
brave (not careful),73.3,497,21.8,391,Homer Simpson
weird (not normal),73.3,460,26.8,444,Homer Simpson
long-winded (not concise),73.2,130,25.7,32,Homer Simpson
abstract (not concrete),73.1,176,27.9,130,Homer Simpson
flamboyant (not modest),73,377,25.5,417,Homer Simpson
emotional (not unemotional),73,683,27.9,40,Homer Simpson
night owl (not morning lark),72.9,501,23.7,261,Homer Simpson
sexual (not asexual),72.9,648,22.4,63,Homer Simpson
😀 (not 😭),72.8,243,30.7,141,Homer Simpson
idealist (not realist),72.6,263,30.6,104,Homer Simpson
exhibitionist (not bashful),72.6,405,30.2,39,Homer Simpson
summer (not winter),72.6,396,26.3,36,Homer Simpson
unfixable (not fixable),72.6,186,27.1,63,Homer Simpson
competitive (not cooperative),72.5,647,27.6,401,Homer Simpson
happy (not sad),72.5,198,21.5,386,Homer Simpson
pack rat (not minimalist),72.3,152,29.7,118,Homer Simpson
lover (not fighter),72,352,25.1,47,Homer Simpson
perverted (not clean),71.9,253,25.1,63,Homer Simpson
dorky (not cool),71.8,293,29.1,110,Homer Simpson
rough (not smooth),71.7,301,26.6,350,Homer Simpson
unassuming (not pretentious),71.6,153,36.1,149,Homer Simpson
sleepy (not frenzied),71.5,22,28.4,62,Homer Simpson
chivalrous (not businesslike),71.5,286,21.8,43,Homer Simpson
💝 (not 💔),71.4,342,26.4,196,Homer Simpson
apprentice (not master),71.4,218,29.8,143,Homer Simpson
transparent (not machiavellian),71.1,224,33.6,34,Homer Simpson
awkward (not suspicious),71,210,27.7,400,Homer Simpson
optimistic (not pessimistic),70.9,375,27.5,360,Homer Simpson
real (not philosophical),70.8,423,29.1,289,Homer Simpson
vulnerable (not armoured),70.7,218,24.7,341,Homer Simpson
feisty (not gracious),70.7,683,24.9,339,Homer Simpson
whippersnapper (not sage),70.6,194,30.4,47,Homer Simpson
scrub (not legit),70.6,98,29.9,144,Homer Simpson
👻 (not 🤖),70.5,289,29.5,121,Homer Simpson
lighthearted (not intense),70.4,188,30.4,36,Homer Simpson
protagonist (not antagonist),70.3,867,28.9,46,Homer Simpson
poor (not rich),70.1,322,19.9,339,Homer Simpson
adventurous (not stick-in-the-mud),70,630,31.7,381,Homer Simpson
moist (not dry),69.9,213,27.1,51,Homer Simpson
stuttering (not rhythmic),69.8,126,26.1,55,Homer Simpson
artistic (not scientific),69.7,427,20.9,412,Homer Simpson
western (not eastern),69.6,390,32.9,175,Homer Simpson
entitled (not grateful),69.6,495,30.4,59,Homer Simpson
sporty (not bookish),69.5,377,22.9,380,Homer Simpson
insulting (not complimentary),69.5,386,23,96,Homer Simpson
🤔 (not 🤫),69.5,273,32.3,117,Homer Simpson
slow-talking (not fast-talking),69.5,157,30.2,58,Homer Simpson
stingy (not generous),69.4,321,27.4,64,Homer Simpson
arrogant (not humble),69.3,607,27.4,451,Homer Simpson
overspender (not penny-pincher),69.3,331,32.4,211,Homer Simpson
important (not irrelevant),69,1167,31.3,210,Homer Simpson
🎃 (not 💀),68.8,314,33.8,56,Homer Simpson
touchy-feely (not distant),68.8,360,24.9,42,Homer Simpson
ironic (not profound),68.7,246,29.8,46,Homer Simpson
naive (not paranoid),68.7,199,35.6,35,Homer Simpson
cringeworthy (not inspiring),68.6,317,30.7,103,Homer Simpson
pop (not indie),68.4,182,30.9,38,Homer Simpson
jealous (not compersive),68.2,421,26.5,348,Homer Simpson
soulful (not soulless),68,1055,29,93,Homer Simpson
old (not young),67.9,422,16.9,389,Homer Simpson
flexible (not rigid),67.8,281,29.1,381,Homer Simpson
lost (not enlightened),67.8,409,27.8,47,Homer Simpson
ambitious (not realistic),67.8,607,32.6,70,Homer Simpson
generalist (not specialist),67,82,30.3,74,Homer Simpson
Russian (not French),67,211,29.4,49,Homer Simpson
flimsy (not sturdy),66.9,211,34.3,45,Homer Simpson
spelunker (not claustrophobic),66.9,487,29.5,53,Homer Simpson
explorer (not builder),66.9,508,26,351,Homer Simpson
pronatalist (not child free),66.7,233,29.7,332,Homer Simpson
animalistic (not human),66.7,186,29.1,353,Homer Simpson
patriotic (not unpatriotic),66.7,759,28,123,Homer Simpson
joyful (not miserable),66.4,367,29.4,120,Homer Simpson
plastic (not wooden),66.4,162,31.8,41,Homer Simpson
trolling (not triggered),66.3,186,33.1,56,Homer Simpson
vain (not demure),66.2,549,29.6,362,Homer Simpson
disarming (not creepy),66.1,943,26.5,156,Homer Simpson
aloof (not obsessed),66,69,33.3,404,Homer Simpson
ugly (not beautiful),65.9,147,27.4,105,Homer Simpson
opinionated (not neutral),65.9,1340,31.4,70,Homer Simpson
anarchist (not statist),65.8,439,28.2,173,Homer Simpson
chill (not offended),65.5,331,33.2,55,Homer Simpson
loyal (not traitorous),65.4,1296,29,418,Homer Simpson
rock (not rap),65.3,1268,28.3,40,Homer Simpson
privileged (not oppressed),65,910,28.6,37,Homer Simpson
everyman (not chosen one),65,389,34.9,44,Homer Simpson
debased (not pure),64.8,525,30.5,416,Homer Simpson
literal (not metaphorical),64.5,644,33.7,333,Homer Simpson
beta (not alpha),64.5,415,30.1,344,Homer Simpson
📉 (not 📈),64.5,145,34.3,135,Homer Simpson
weakass (not badass),64.5,223,31.2,50,Homer Simpson
open to new experinces (not uncreative),64.3,1053,33.4,395,Homer Simpson
autistic (not neurotypical),64,108,29.7,419,Homer Simpson
traumatized (not flourishing),64,860,31.3,56,Homer Simpson
jock (not nerd),63.9,515,26.8,386,Homer Simpson
blacksmith (not tailor),63.9,410,26.5,38,Homer Simpson
lavish (not frugal),63.8,522,31.4,404,Homer Simpson
individualist (not communal),63.8,733,31.8,88,Homer Simpson
first-mate (not captain),63.7,669,31.7,388,Homer Simpson
repetitive (not varied),63.6,559,32.6,170,Homer Simpson
vintage (not trendy),63.6,1024,30.1,57,Homer Simpson
blissful (not haunted),63.6,291,32.1,65,Homer Simpson
fearmongering (not reassuring),63.2,470,31.4,46,Homer Simpson
bored (not interested),63.1,132,33.4,41,Homer Simpson
flirtatious (not prudish),63.1,706,28.8,43,Homer Simpson
poisonous (not nurturing),62.9,495,26.6,139,Homer Simpson
innocent (not worldly),62.8,288,31.4,429,Homer Simpson
quitter (not persistent),62.5,24,32.8,117,Homer Simpson
confident (not insecure),62.4,1027,29.7,439,Homer Simpson
libertarian (not socialist),62.2,412,29.5,319,Homer Simpson
sweet (not bitter),62.2,695,27.1,331,Homer Simpson
love-focused (not money-focused),62.2,1097,25.7,41,Homer Simpson
literary (not mathematical),61.9,802,21.2,356,Homer Simpson
sheltered (not street-smart),61.9,440,29.6,314,Homer Simpson
skeptical (not spiritual),61.7,1116,29.2,390,Homer Simpson
outsider (not insider),61.6,628,30.1,276,Homer Simpson
trusting (not suspicious),61.5,547,31.4,450,Homer Simpson
kind (not cruel),61.5,1210,24.9,383,Homer Simpson
oxymoron (not tautology),61.3,462,32.8,26,Homer Simpson
comedic (not dramatic),61.1,358,35.4,53,Homer Simpson
unchallenging (not demanding),61.1,219,36.6,70,Homer Simpson
🐘 (not 🐀),61,573,35.4,196,Homer Simpson
awkward (not charming),60.9,436,30.2,440,Homer Simpson
vibrant (not geriatric),60.9,1079,32.3,48,Homer Simpson
urban (not rural),60.8,1105,31.3,172,Homer Simpson
creative (not conventional),60.6,765,31.8,422,Homer Simpson
sensitive (not thick-skinned),60.6,594,30.7,338,Homer Simpson
masochistic (not pain-avoidant),60.6,547,35.4,70,Homer Simpson
freelance (not corporate),60.5,907,35.7,59,Homer Simpson
ferocious (not pacifist),60.4,938,29.6,420,Homer Simpson
🧙 (not 👨‍🚀),60.3,682,29.5,180,Homer Simpson
heroic (not villainous),60.2,1255,22.2,420,Homer Simpson
always down (not picky),60.2,366,36.8,45,Homer Simpson
Coke (not Pepsi),60,415,38.2,53,Homer Simpson
atheist (not theist),59.9,904,30.4,92,Homer Simpson
giggling (not chortling),59.8,371,34.3,41,Homer Simpson
gatherer (not hunter),59.5,657,30.5,60,Homer Simpson
queen (not princess),59.5,990,33.4,48,Homer Simpson
roundabout (not direct),59.4,268,34.5,380,Homer Simpson
punk rock (not preppy),59.4,626,28.5,39,Homer Simpson
non-gamer (not gamer),59.4,967,36.2,52,Homer Simpson
quarrelsome (not warm),59.2,829,30.3,392,Homer Simpson
jaded (not innocent),59.2,1103,30.9,43,Homer Simpson
devoted (not unfaithful),59.1,1519,28.6,52,Homer Simpson
demonic (not angelic),59,602,22.4,419,Homer Simpson
🙃 (not 🥰),59,621,34.8,204,Homer Simpson
🙋‍♂️ (not 🙅‍♂️),59,827,37.4,121,Homer Simpson
psychopath (not empath),58.9,520,31.4,74,Homer Simpson
common sense (not analysis),58.9,407,32.2,38,Homer Simpson
submissive (not dominant),58.8,483,28.3,450,Homer Simpson
efficient (not overprepared),58.6,1179,25.9,47,Homer Simpson
contrarian (not yes-man),58.6,990,35.5,39,Homer Simpson
😈 (not 😇),58.5,730,29.3,119,Homer Simpson
freak (not normie),58.5,835,31.7,70,Homer Simpson
spicy (not mild),58.4,1042,31.2,372,Homer Simpson
empirical (not theoretical),58.2,704,35.6,385,Homer Simpson
charismatic (not uninspiring),58,1439,32.7,338,Homer Simpson
domestic (not industrial),58,621,31.9,95,Homer Simpson
close-minded (not open-minded),57.9,514,31.3,398,Homer Simpson
stuck-in-the-past (not forward-thinking),57.9,569,26.6,65,Homer Simpson
not genocidal (not genocidal),57.9,1284,36,37,Homer Simpson
frank (not sugarcoated),57.9,1355,32.8,41,Homer Simpson
believable (not poorly-written),57.8,1723,29.9,70,Homer Simpson
natural-talent (not hard-work),57.8,417,31.1,48,Homer Simpson
meek (not bossy),57.7,444,29.4,378,Homer Simpson
multicolored (not monochrome),57.7,712,37.1,71,Homer Simpson
romantic (not dispassionate),57.7,1220,30.7,59,Homer Simpson
sheeple (not conspiracist),57.6,272,34,263,Homer Simpson
earth (not air),57.6,1062,36.7,60,Homer Simpson
anxious (not calm),57.2,991,31.3,363,Homer Simpson
curious (not apathetic),57,1292,34.8,407,Homer Simpson
country-bumpkin (not city-slicker),57,467,32.1,130,Homer Simpson
authoritarian (not democratic),56.9,678,29.9,353,Homer Simpson
mainstream (not arcane),56.9,540,34.7,333,Homer Simpson
thrifty (not extravagant),56.9,817,37.4,51,Homer Simpson
remote (not involved),56.8,227,32.4,344,Homer Simpson
mundane (not extraordinary),56.6,386,34.1,367,Homer Simpson
🦄 (not 🐴),56.4,638,36.8,121,Homer Simpson
celebrity (not boy/girl-next-door),56.4,629,35.6,55,Homer Simpson
🥴 (not 🥳),56.3,916,35.3,124,Homer Simpson
good-humored (not angry),56.1,965,30.1,383,Homer Simpson
decorative (not utilitarian),56.1,508,31.3,81,Homer Simpson
Italian (not Swedish),56.1,821,33.7,40,Homer Simpson
prideful (not envious),56.1,1495,33.1,69,Homer Simpson
modern (not historical),55.7,965,29.4,251,Homer Simpson
poetic (not factual),55.4,669,31.1,58,Homer Simpson
deviant (not average),55.3,1102,31.9,288,Homer Simpson
macho (not metrosexual),55.3,576,35.8,50,Homer Simpson
vengeful (not forgiving),55.2,858,31.7,412,Homer Simpson
💩 (not 🌟),55.2,391,36.2,154,Homer Simpson
trusting (not charming),55,728,31.2,448,Homer Simpson
🏌 (not 🤺),55,320,36,130,Homer Simpson
vanilla (not kinky),54.6,867,29.2,383,Homer Simpson
puny (not mighty),54.5,436,28.2,384,Homer Simpson
resistant (not resigned),54.4,1535,31.6,335,Homer Simpson
'right-brained' (not 'left-brained'),54.2,455,32.2,258,Homer Simpson
cunning (not honorable),54.1,701,27.4,461,Homer Simpson
unlucky (not fortunate),54,956,34.9,450,Homer Simpson
opinionated (not jealous),54,1502,31.8,42,Homer Simpson
avant-garde (not classical),53.9,692,34.1,77,Homer Simpson
permanent (not transient),53.8,1013,35.8,135,Homer Simpson
glad (not mad),53.8,749,29.5,119,Homer Simpson
🏋️‍♂️ (not 🚴),53.8,514,26.1,102,Homer Simpson
🎨 (not 🏀),53.7,1149,29.6,53,Homer Simpson
accepting (not judgemental),53.5,860,33.4,271,Homer Simpson
narcissistic (not low self esteem),53.4,1098,30.7,50,Homer Simpson
bad boy (not white knight),53.4,731,26.5,54,Homer Simpson
Roman (not Greek),53.2,885,34.2,46,Homer Simpson
tall (not short),53,1088,21.1,432,Homer Simpson
salacious (not wholesome),53,764,34.3,131,Homer Simpson
😬 (not 😏),52.8,723,33.9,119,Homer Simpson
hypochondriac (not stoic),52.8,658,34.4,36,Homer Simpson
passive (not assertive),52.7,470,31.5,365,Homer Simpson
existentialist (not nihilist),51.9,1332,32.5,57,Homer Simpson
racist (not egalitarian),51.8,307,29.1,133,Homer Simpson
serene (not pensive),51.8,249,33.4,45,Homer Simpson
radical (not centrist),51.8,1071,33.2,33,Homer Simpson
genuine (not sarcastic),51.7,1016,34.4,379,Homer Simpson
water (not fire),51.6,732,35.4,55,Homer Simpson
quirky (not predictable),51.5,1031,34.9,37,Homer Simpson
depressed (not bright),51.4,932,27.2,335,Homer Simpson
tiresome (not interesting),51.2,428,31.7,368,Homer Simpson
liberal (not conservative),51.2,1286,34.2,117,Homer Simpson
decisive (not hesitant),51.1,1414,34.8,404,Homer Simpson
enslaved (not emancipated),51.1,477,32,315,Homer Simpson
🥵 (not 🥶),51.1,1156,34.3,40,Homer Simpson
🥾 (not 👟),51,974,37.1,133,Homer Simpson
treasure (not trash),50.1,1625,32,141,Homer Simpson
punchable (not loveable),50.6,675,30.2,58,Homer Simpson
mischievous (not well behaved),96.8,9,7.4,428,Bart Simpson
rebellious (not obedient),96,12,9.1,382,Bart Simpson
spontaneous (not scheduled),95.6,8,9.2,436,Bart Simpson
playful (not serious),95,4,8.6,446,Bart Simpson
chaotic (not orderly),94.8,11,9.6,418,Bart Simpson
playful (not shy),94.1,28,11.3,423,Bart Simpson
impulsive (not cautious),94,20,12.1,425,Bart Simpson
loud (not quiet),93.9,32,9.6,411,Bart Simpson
adventurous (not stick-in-the-mud),93.9,33,10.8,399,Bart Simpson
plays hard (not works hard),93.8,3,10.1,432,Bart Simpson
wild (not tame),93.7,21,8.9,385,Bart Simpson
ADHD (not OCD),93.7,4,13.4,67,Bart Simpson
goof-off (not studious),93.1,13,15.9,147,Bart Simpson
slacker (not workaholic),92.9,8,11.2,116,Bart Simpson
juvenile (not mature),92.8,10,14.9,125,Bart Simpson
outlaw (not sheriff),92.5,26,11.8,382,Bart Simpson
scandalous (not proper),92.5,17,11.4,334,Bart Simpson
bold (not shy),92.4,143,13.5,483,Bart Simpson
young (not old),92.1,22,12,433,Bart Simpson
messy (not neat),91.8,13,10.5,305,Bart Simpson
crafty (not scholarly),91.3,3,13.2,435,Bart Simpson
tardy (not on-time),91.3,7,15.9,70,Bart Simpson
f***-the-police (not tattle-tale),91.2,99,17.1,40,Bart Simpson
impatient (not patient),91.1,41,12.5,145,Bart Simpson
lenient (not strict),90.7,12,15.4,428,Bart Simpson
extrovert (not introvert),90.7,54,12.7,414,Bart Simpson
sporty (not bookish),90.6,31,14,409,Bart Simpson
bold (not serious),90.4,13,12,436,Bart Simpson
disorganized (not self-disciplined),90.4,17,15.4,391,Bart Simpson
open to new experinces (not uncreative),90.2,84,14.6,422,Bart Simpson
😎 (not 🧐),90.2,23,15.7,150,Bart Simpson
main character (not side character),89.9,191,14.4,33,Bart Simpson
funny (not humorless),89.6,76,16,418,Bart Simpson
chatty (not reserved),89.4,110,12.8,433,Bart Simpson
feisty (not gracious),89.4,48,13.9,377,Bart Simpson
instinctual (not reasoned),89.3,13,15,441,Bart Simpson
🧢 (not 🎩),89,25,18.2,133,Bart Simpson
exuberant (not subdued),89,39,17.7,64,Bart Simpson
😜 (not 🤐),88.7,77,19.8,129,Bart Simpson
interrupting (not attentive),88.7,40,20,53,Bart Simpson
extreme (not moderate),88.6,110,12.1,403,Bart Simpson
brave (not careful),88.3,33,13.2,445,Bart Simpson
drop out (not valedictorian),88,32,17.7,136,Bart Simpson
edgy (not politically correct),87.8,53,14.4,421,Bart Simpson
fire (not water),87.8,112,17.3,63,Bart Simpson
🐒 (not 🐩),87.7,18,17.8,126,Bart Simpson
freelance (not corporate),87.3,118,18.4,60,Bart Simpson
👟 (not 🥾),87.2,19,18.8,112,Bart Simpson
competitive (not cooperative),87.1,225,15.3,425,Bart Simpson
focused on the present (not focused on the future),87.1,11,21.4,437,Bart Simpson
dog person (not cat person),87,36,17.5,38,Bart Simpson
👩‍🎤 (not 👩‍🔬),86.7,63,17.5,153,Bart Simpson
💃 (not 🧕),86.7,144,13.9,200,Bart Simpson
resistant (not resigned),86.5,35,18.8,385,Bart Simpson
gamer (not non-gamer),86.5,35,17.9,66,Bart Simpson
cunning (not honorable),86.3,83,16.4,499,Bart Simpson
rude (not respectful),86.1,80,17.1,427,Bart Simpson
doer (not thinker),86.1,52,21.5,70,Bart Simpson
cocky (not timid),86.1,270,18.6,50,Bart Simpson
expressive (not stoic),85.9,130,19.7,419,Bart Simpson
👨‍🔧 (not 👨‍⚕️),85.9,90,15.9,129,Bart Simpson
twitchy (not still),85.9,74,22.3,56,Bart Simpson
spontaneous (not deliberate),85.8,52,22.3,384,Bart Simpson
trolling (not triggered),85.8,12,22.2,64,Bart Simpson
summer (not winter),85.8,97,18.7,45,Bart Simpson
😈 (not 😇),85.7,138,19.3,130,Bart Simpson
🤣 (not 😊),85.7,23,21.2,150,Bart Simpson
frank (not sugarcoated),85.7,162,22.9,41,Bart Simpson
heathen (not devout),85.6,16,20,415,Bart Simpson
experimental (not reliable),85.5,62,21.9,75,Bart Simpson
stubborn (not accommodating),85.5,275,21.1,52,Bart Simpson
deviant (not average),85.3,84,19.8,312,Bart Simpson
short (not tall),85.2,80,14.4,488,Bart Simpson
sarcastic (not genuine),85.2,82,20.7,384,Bart Simpson
